layer,bottom,top,x,y
MZ,-1,0,-0.5,-0.5
L1,-1,0,10.5,-0.5
CPo,-3,-1,-0.5,-2
L2,-2,-1,10.5,-1.5
L3,-3,-2,10.5,-2.5
L4,-5,-3,2.5,-4
L4A,-3.5,-3,10.5,-3.25
L4B,-4,-3.5,10.5,-3.75
L4Ca,-4.5,-4,10.5,-4.25
L4Cb,-5,-4.5,10.5,-4.75
CPi,-7,-4,-0.5,-5.5
L5,-6,-5,10.5,-5.5
L6,-7,-6,10.5,-6.5
SP,-8,-7,-0.5,-7.5
IZ,-8.8,-8,-0.5,-8.4
OFZ,-8.8,-9.2,-0.5,-9
WM,-9.2,-8,10.5,-8.6
SZ,-11,-9.2,6.5,-10.1
SZo,-9.9,-9.2,-0.5,-9.55
IFZ,-9.9,-10.3,-0.5,-10.1
SZi,-11,-10.3,-0.5,-10.65
VZ,-13,-11,6.5,-12
VZo,-12,-11,-0.5,-11.5
VZi,-13,-12,-0.5,-12.5
