regionDataset,region,dataset,left,right,xPos,yPos
ACG_prenatal,ACG,prenatal,0,0.35,0.177,-15
S1_prenatal,S1,prenatal,0.35,0.65,0.5,-15
V1_prenatal,V1,prenatal,0.65,1,0.843,-15
ACG_postnatal,ACG,postnatal,0,0.33,0.165,-10
OG_postnatal,OG,postnatal,0.33,0.67,0.5,-10
dlPF_postnatal,dlPF,postnatal,0.67,1,0.835,-10
RG_postnatal,RG,postnatal,1,1.33,1.165,-10
V2_postnatal,V2,postnatal,1.33,1.67,1.5,-10
V1_postnatal,V1,postnatal,1.67,2,1.835,-10
ACG_adult,ACG,adult,0,0.3,0.15,-8
OG_adult,OG,adult,0.3,0.6,0.45,-8
dlPF_adult,dlPF,adult,0.6,0.9,0.75,-8
M1_adult,M1,adult,0.9,1.2,1.05,-8
S1_adult,S1,adult,1.2,1.5,1.35,-8
TE_adult,TE,adult,1.5,1.8,1.65,-8
A1_adult,A1,adult,1.8,2.1,1.95,-8
MTV5_adult,MTV5,adult,2.1,2.4,2.25,-8
V2_adult,V2,adult,2.4,2.7,2.55,-8
V1_adult,V1,adult,2.7,3,2.85,-8
LGE_prenatal,LGE,prenatal,0,0.33,0.167,-100
LGEcx_prenatal,LGEcx,prenatal,0,0.33,0.167,-100
MGE_prenatal,MGE,prenatal,0.33,0.67,0.5,-100
CGE_prenatal,CGE,prenatal,0.67,1,0.833,-100
DLG_prenatal,DLG,prenatal,0.2,0.8,0.5,-100
DLG_adult,(adult),adult,-14.7,-14,-14.9,-18.7
